CÓDIGO;PUNTOS;NV;REN(%);ORD. M;B;M;V;
71862294;276.20;12.41;62.07;1;31;10;3;
71476194;267.40;12.02;60.09;2;31;13;0;
74968348;262.50;11.80;58.99;3;30;11;3;
60771489;261.40;11.75;58.74;4;30;11;3;
74834670;261.40;11.75;58.74;4;30;12;2;
70444098;259.30;11.65;58.27;6;28;5;11;
73889170;257.00;11.55;57.75;7;29;10;5;
61022581;251.80;11.32;56.58;8;27;6;11;
74718585;251.60;11.31;56.54;9;30;11;3;
60731062;243.20;10.93;54.65;10;29;9;6;
71159679;241.00;10.83;54.16;11;29;15;0;
76335554;238.60;10.72;53.62;12;29;12;3;
76955910;231.00;10.38;51.91;13;26;6;12;
73238107;227.00;10.20;51.01;14;26;9;9;
72562324;226.60;10.18;50.92;15;27;17;0;
60790351;226.50;10.18;50.90;16;26;7;11;
60780919;225.70;10.14;50.72;17;26;16;2;
75544418;221.70;9.96;49.82;18;28;12;4;
77796029;221.30;9.95;49.73;19;26;12;6;
70503559;218.90;9.84;49.19;20;26;15;3;
71455546;218.60;9.82;49.12;21;26;9;9;
73227259;218.00;9.80;48.99;22;25;10;9;
72613966;214.60;9.64;48.22;23;26;12;6;
72663506;213.60;9.60;48.00;24;23;11;10;
60842406;209.20;9.40;47.01;25;26;18;0;
72246089;206.20;9.27;46.34;26;25;8;11;
60427850;202.40;9.10;45.48;27;25;12;7;
78008136;200.80;9.02;45.12;28;26;18;0;
75176427;198.70;8.93;44.65;29;23;8;13;
60785095;198.70;8.93;44.65;29;25;7;12;
73225985;196.70;8.84;44.20;31;23;13;8;
74774104;194.20;8.73;43.64;32;24;15;5;
60875633;193.50;8.70;43.48;33;24;10;10;
72803173;193.00;8.67;43.37;34;24;20;0;
73050598;192.40;8.65;43.24;35;26;18;0;
71917737;191.90;8.62;43.12;36;24;9;11;
73058411;189.70;8.53;42.63;37;24;17;3;
61042732;188.50;8.47;42.36;38;23;8;13;
70702583;186.40;8.38;41.89;39;23;15;6;
72329924;186.10;8.36;41.82;40;23;10;11;
60771546;185.30;8.33;41.64;41;23;14;7;
73278507;182.20;8.19;40.94;42;24;18;2;
75519742;182.10;8.18;40.92;43;23;16;4;
76219673;182.10;8.18;40.92;43;20;8;16;
72883738;181.30;8.15;40.74;45;23;12;9;
71478460;180.30;8.10;40.52;46;24;16;4;
73864634;180.20;8.10;40.49;47;22;12;10;
72287391;179.90;8.09;40.43;48;23;11;10;
70446346;179.20;8.05;40.27;49;25;19;0;
76386490;176.80;7.95;39.73;50;24;20;0;
72697965;175.30;7.88;39.39;51;22;14;8;
76926856;173.70;7.81;39.03;52;23;16;5;
72844801;173.10;7.78;38.90;53;22;11;11;
60914215;170.20;7.65;38.25;54;23;21;0;
60796056;169.90;7.64;38.18;55;22;11;11;
74040169;169.60;7.62;38.11;56;22;16;6;
60978759;168.40;7.57;37.84;57;22;22;0;
72794723;167.90;7.55;37.73;58;21;11;12;
76234591;167.80;7.54;37.71;59;21;10;13;
60759345;166.60;7.49;37.44;60;23;11;10;
62664620;165.40;7.43;37.17;61;22;22;0;
60429399;165.10;7.42;37.10;62;21;6;17;
74040087;164.80;7.41;37.03;63;23;21;0;
77042218;164.50;7.39;36.97;64;22;9;13;
72920976;163.30;7.34;36.70;65;21;10;13;
75969812;163.00;7.33;36.63;66;24;17;3;
74064871;162.40;7.30;36.49;67;22;22;0;
72582903;161.50;7.26;36.29;68;20;18;6;
73226968;161.10;7.24;36.20;69;21;17;6;
70935468;160.80;7.23;36.13;70;22;13;9;
72111471;160.10;7.20;35.98;71;20;7;17;
60798503;158.50;7.12;35.62;72;21;15;8;
60851153;157.10;7.06;35.30;73;20;5;19;
72725642;156.50;7.03;35.17;74;19;14;11;
75199440;155.70;7.00;34.99;75;20;15;9;
73894844;155.70;7.00;34.99;75;21;14;9;
72199720;153.20;6.89;34.43;77;18;14;12;
73827243;153.00;6.88;34.38;78;20;11;13;
70530359;152.20;6.84;34.20;79;23;21;0;
70486015;151.60;6.81;34.07;80;21;14;9;
76754813;150.80;6.78;33.89;81;22;18;4;
72796197;150.60;6.77;33.84;82;19;13;12;
73823328;150.00;6.74;33.71;83;20;7;17;
61151470;149.60;6.72;33.62;84;19;11;14;
60750138;149.50;6.72;33.60;85;19;10;15;
77659228;149.40;6.71;33.57;86;19;13;12;
60423007;145.80;6.55;32.76;87;20;14;10;
60771863;143.60;6.45;32.27;88;19;24;1;
72083888;142.00;6.38;31.91;89;21;23;0;
60741180;141.50;6.36;31.80;90;20;13;11;
61104392;140.20;6.30;31.51;91;22;22;0;
73446751;139.90;6.29;31.44;92;18;11;15;
72554966;138.40;6.22;31.10;93;21;23;0;
73563241;137.20;6.17;30.83;94;22;22;0;
73210468;135.80;6.10;30.52;95;19;12;13;
60662955;134.00;6.02;30.11;96;17;12;15;
70454362;132.40;5.95;29.75;97;20;22;2;
74379488;130.00;5.84;29.21;98;20;24;0;
72393213;129.50;5.82;29.10;99;19;13;12;
75707279;128.90;5.79;28.97;100;18;18;8;
72180527;128.20;5.76;28.81;101;17;19;8;
70489331;125.90;5.66;28.29;102;17;7;20;
71637543;124.70;5.60;28.02;103;16;5;23;
74645782;118.60;5.33;26.65;105;19;20;5;
74847301;117.80;5.29;26.47;106;17;23;4;
73923465;115.00;5.17;25.84;107;19;23;2;
71203981;114.30;5.14;25.69;108;16;8;20;
71267738;113.70;5.11;25.55;109;17;17;10;
73735877;113.70;5.11;25.55;109;17;24;3;
75154875;113.60;5.11;25.53;111;19;23;2;
72566295;113.60;5.11;25.53;111;14;10;20;
71696228;110.80;4.98;24.90;113;17;19;8;
60938386;110.60;4.97;24.85;114;17;16;11;
60736371;109.90;4.94;24.70;115;17;20;7;
60869968;107.20;4.82;24.09;116;17;24;3;
60766880;106.70;4.80;23.98;117;15;7;22;
72643999;106.00;4.76;23.82;118;19;25;0;
74571829;105.20;4.73;23.64;119;17;23;4;
73369305;104.30;4.69;23.44;120;16;19;9;
73134020;103.50;4.65;23.26;121;17;17;10;
72111766;96.40;4.33;21.66;122;16;17;11;
60797886;94.60;4.25;21.26;123;16;19;9;
74725786;94.50;4.25;21.24;124;16;21;7;
74627200;93.00;4.18;20.90;125;14;17;13;
60851672;88.80;3.99;19.96;126;13;18;13;
70639711;88.00;3.96;19.78;127;15;27;2;
70968274;83.80;3.77;18.83;128;17;27;0;
61107515;82.90;3.73;18.63;129;14;17;13;
61118437;82.60;3.71;18.56;130;15;17;12;
60853954;80.20;3.60;18.02;131;16;28;0;
75507105;79.60;3.58;17.89;132;13;22;9;
72666319;77.20;3.47;17.35;133;16;28;0;
75201892;76.10;3.42;17.10;134;14;17;13;
71208947;73.10;3.29;16.43;135;12;12;20;
70593515;73.00;3.28;16.40;136;14;23;7;
74961590;71.30;3.20;16.02;137;12;16;16;
60869888;67.00;3.01;15.06;138;16;28;0;
61058964;56.80;2.55;12.76;139;12;21;11;
74757401;55.60;2.50;12.49;140;14;29;1;
61042800;41.40;1.86;9.30;141;12;31;1;
73029047;14.20;0.64;3.19;142;10;34;0;
